Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Adrian Peterson,257.9,24.12903226,130.3548387,5.402406417,1.322580645,0.774193548,6.387096774,8.25,0.032258065,24.90322581,136.7419355,5.490932642,1.35483871,26.85714286,144.5714286,5.382978723,1.714285714,1.539170507,19.42857143,12.62275449,0.142857143,28.28571429,164,5.797979798,1.857142857
Sterling Shepard,184.4,0.346938776,2.224489796,6.411764706,0.020408163,4.755102041,71.06122449,14.94420601,0.530612245,5.102040816,73.28571429,14.364,0.551020408,0.103610675,0.384615385,3.712121212,0,6.615384615,99.07692308,14.97674419,0.846153846,6.692307692,99.46153846,14.86206897,0.846153846
Mike Gesicki,42.2,0,0,0,0,2.866666667,32.91111111,11.48062016,0.333333333,2.866666667,32.91111111,11.48062016,0.333333333,0,0,0,0,4.384615385,43.30769231,9.877192982,0.692307692,4.384615385,43.30769231,9.877192982,0.692307692
Marquez Valdes-Scantling ,111,0.256410256,2.871794872,11.2,0.025641026,3.051282051,46.97435897,15.39495798,0.307692308,3.307692308,49.84615385,15.06976744,0.333333333,0.688034188,9,13.08074534,0.083333333,4.416666667,73.25,16.58490566,0.5,5.083333333,82.25,16.18032787,0.583333333
Mark Andrews,107.2,0,0,0,0,3.2,50.42857143,15.75892857,0.628571429,3.2,50.42857143,15.75892857,0.628571429,0,0,0,0,4.428571429,68.42857143,15.4516129,0.571428571,4.428571429,68.42857143,15.4516129,0.571428571
Evan Engram ,173.6,0,0,0,0,3.951219512,56.58536585,14.32098765,0.365853659,3.951219512,56.58536585,14.32098765,0.365853659,0,0,0,0,5.909090909,84.18181818,14.24615385,0.727272727,5.909090909,84.18181818,14.24615385,0.727272727
Raheem Mostert,0,3.162790698,17.65116279,5.580882353,0.139534884,0.441860465,2.837209302,6.421052632,0,3.604651163,20.48837209,5.683870968,0.139534884,8.454545455,48.09090909,5.688172043,0.272727273,1.67653277,10.54545455,6.290037831,0,10.09090909,58.63636364,5.810810811,0.272727273
Noah Fant,113,0.133333333,0,0,0,2.6,36.1,13.88461538,0.633333333,2.733333333,36.1,13.20731707,0.633333333,0.177777778,0.083333333,0.46875,0,3.25,43.25,13.30769231,0.583333333,3.416666667,43.33333333,12.68292683,0.583333333
Brian Hill,9.3,20.94594595,115.8648649,5.531612903,0.945945946,1.108108108,10.89189189,9.829268293,0,22.05405405,126.7567568,5.74754902,0.945945946,24.92857143,132.8571429,5.329512894,1.571428571,0.650579151,4.785714286,7.356083086,0,25.5,137.6428571,5.397759104,1.571428571
Hunter Renfrow,133.5,0,0,0,0,3.509433962,40.24528302,11.46774194,0.283018868,3.509433962,40.24528302,11.46774194,0.283018868,0,0,0,0,3.266666667,36.26666667,11.10204082,0.066666667,3.266666667,36.26666667,11.10204082,0.066666667
